DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.438, 0.5035, 19.9072040548*(x-0.438)*(x-0.438)*(x-0.438)-4.49785000637*(x-0.438)*(x-0.438)+0.0*(x-0.438)+1.0940096378326416
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.5035, 0.5695, 239.760233165*(x-0.5035)*(x-0.5035)*(x-0.5035)-23.1830350124*(x-0.5035)*(x-0.5035)-0.332997704246*(x-0.5035)+1.080306887626648
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.5695, 0.6365, -21.3706282943*(x-0.5695)*(x-0.5695)*(x-0.5695)+3.01043472642*(x-0.5695)*(x-0.5695)-0.259971598885*(x-0.5695)+1.0262738466262817
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.6365, 0.703, 28.741683901*(x-0.6365)*(x-0.6365)*(x-0.6365)-1.78148224142*(x-0.6365)*(x-0.6365)-0.144371596784*(x-0.6365)+1.015942096710205
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.703, 0.769, -13.630268825*(x-0.703)*(x-0.703)*(x-0.703)+1.34939661368*(x-0.703)*(x-0.703)+0.0*(x-0.703)+1.00691556930542
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.769, 0.835, 51.6047902057*(x-0.769)*(x-0.769)*(x-0.769)-6.2009580199*(x-0.769)*(x-0.769)+0.0*(x-0.769)+1.0088748931884766
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.835, 0.901, -27.6395512359*(x-0.835)*(x-0.835)*(x-0.835)+2.21595573082*(x-0.835)*(x-0.835)-0.144155060218*(x-0.835)+0.9966996908187866
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.901, 0.972, 82.2338034923*(x-0.901)*(x-0.901)*(x-0.901)-19.3905833616*(x-0.901)*(x-0.901)-0.2128425593*(x-0.901)+0.9888918995857239
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.972, 1.1, 0.905464529991
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0, 0.076, 1.19171893597
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.076, 0.177, -0.940894775841*(x-0.076)*(x-0.076)*(x-0.076)-0.492006138893*(x-0.076)*(x-0.076)+0.0*(x-0.076)+1.1917189359664917
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.177, 0.2295, 1515.69280963*(x-0.177)*(x-0.177)*(x-0.177)-118.14005216*(x-0.177)*(x-0.177)-0.128179442881*(x-0.177)+1.1857305765151978
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.2295, 0.2865, -597.642187489*(x-0.2295)*(x-0.2295)*(x-0.2295)+51.0984070303*(x-0.2295)*(x-0.2295)+0.0*(x-0.2295)+1.0727031230926514
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.2865, 0.346, 624.353378928*(x-0.2865)*(x-0.2865)*(x-0.2865)-62.811189015*(x-0.2865)*(x-0.2865)+0.0*(x-0.2865)+1.1280426979064941
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.346, 0.407, 85.6868280242*(x-0.346)*(x-0.346)*(x-0.346)-0.92698129261*(x-0.346)*(x-0.346)-0.843430343536*(x-0.346)+1.0371922254562378
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.407, 0.47, -646.546883329*(x-0.407)*(x-0.407)*(x-0.407)+61.0986804746*(x-0.407)*(x-0.407)+0.0*(x-0.407)+1.001742959022522
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.47, 0.534, 360.597368854*(x-0.47)*(x-0.47)*(x-0.47)-34.6173474099*(x-0.47)*(x-0.47)+0.0*(x-0.47)+1.0825765132904053
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.534, 0.5985, -80.5787179744*(x-0.534)*(x-0.534)*(x-0.534)+7.79599096402*(x-0.534)*(x-0.534)+0.0*(x-0.534)+1.035312294960022
