DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.453, 0.516, -69.0298016224*(x-0.453)*(x-0.453)*(x-0.453)+4.0616279429*(x-0.453)*(x-0.453)+0.310172727113*(x-0.453)+1.0194064378738403
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.516, 0.58, 324.762822856*(x-0.516)*(x-0.516)*(x-0.516)-31.1772309942*(x-0.516)*(x-0.516)+0.0*(x-0.516)+1.0378072261810303
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.58, 0.6445, -680.96124746*(x-0.58)*(x-0.58)*(x-0.58)+65.8830006917*(x-0.58)*(x-0.58)+0.0*(x-0.58)+0.9952399134635925
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.6445, 0.7095, 352.894859089*(x-0.6445)*(x-0.6445)*(x-0.6445)-41.6699941128*(x-0.6445)*(x-0.6445)+0.0*(x-0.6445)+1.0866031646728516
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.7095, 0.7745, 141.51079816*(x-0.7095)*(x-0.7095)*(x-0.7095)-6.53455746898*(x-0.7095)*(x-0.7095)-0.944156895709*(x-0.7095)+1.0074611902236938
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.7745, 0.8395, -226.336002807*(x-0.7745)*(x-0.7745)*(x-0.7745)+23.7377750677*(x-0.7745)*(x-0.7745)+0.0*(x-0.7745)+0.9573448896408081
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.8395, 0.9045, -11.6659543611*(x-0.8395)*(x-0.8395)*(x-0.8395)-0.532584243803*(x-0.8395)*(x-0.8395)+0.217101923222*(x-0.8395)+0.9954794645309448
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.9045, 0.9735, 130.739806472*(x-0.9045)*(x-0.9045)*(x-0.9045)-29.6674395826*(x-0.9045)*(x-0.9045)+0.0*(x-0.9045)+1.0041371583938599
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.9735, 1.1, 0.905839681625
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0, 0.075, 1.23579418659
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.075, 0.1765, 3.85191789122*(x-0.075)*(x-0.075)*(x-0.075)-1.85914289066*(x-0.075)*(x-0.075)-0.519566011758*(x-0.075)+1.235794186592102
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.1765, 0.2315, -42.8398379963*(x-0.1765)*(x-0.1765)*(x-0.1765)+0.166501117918*(x-0.1765)*(x-0.1765)-0.777921755277*(x-0.1765)+1.1679327487945557
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.2315, 0.291, 583.86355495*(x-0.2315)*(x-0.2315)*(x-0.2315)-42.4595856228*(x-0.2315)*(x-0.2315)-1.14837816212*(x-0.2315)+1.1185232400894165
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.291, 0.353, -946.496589471*(x-0.291)*(x-0.291)*(x-0.291)+88.0241828208*(x-0.291)*(x-0.291)+0.0*(x-0.291)+1.0228650569915771
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.353, 0.4175, 645.49736306*(x-0.353)*(x-0.353)*(x-0.353)-64.7886186372*(x-0.353)*(x-0.353)+0.0*(x-0.353)+1.1356533765792847
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.4175, 0.483, -37.9847716498*(x-0.4175)*(x-0.4175)*(x-0.4175)+4.53660692461*(x-0.4175)*(x-0.4175)-0.301440590193*(x-0.4175)+1.039326786994934
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.483, 0.5465, -18.2536870784*(x-0.483)*(x-0.483)*(x-0.483)+0.525424346298*(x-0.483)*(x-0.483)-0.196037582781*(x-0.483)+1.0283714532852173
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.5465, 0.611, 242.247844544*(x-0.5465)*(x-0.5465)*(x-0.5465)-20.7233783397*(x-0.5465)*(x-0.5465)-0.350118979967*(x-0.5465)+1.0133678913116455
